domain,source_dataset,week_start,year,iso_week,store_id,store_region,sku_id,category_id,category,source_category,lag1w,lag2w,lag4w,rm4w,rm8w,rstd8w,growth,avail_rm4w,censored_rate_4w,price,logprice,avg_discount,max_discount,availability,days_observed,censored_days,holiday_days,promo_days,traffic,logtraffic,temp_c,precip,cat_demand_cv,cat_elasticity,cat_season_index,sku_volatility,sku_promo_lift,typical_garment_group,typical_product_type,units_sold,position_id,sku_name,store_name,cogs,supplier,supplier_reliability,trend_score,base_velocity,on_hand,in_transit,received,sold,markdown,hm_article_count,predicted_units
styleverse,styleverse,2026-08-10,2026,32,ST01,Premium,SV1001,OUT,Outerwear,Outerwear,,,,,,,,,,2680,7.8939,0,0,1,7,0,0,0,,,,,0.42,-1.6,1.35,0.42,,Outdoor,Jacket,,1,Ridge Parka,Mumbai · Lower Parel,1173,Tirupur Knits,0.94,0.5843617511401088,1.378171070618555,13,0,25,12,0,5810,11196.963
styleverse,styleverse,2026-08-10,2026,32,ST01,Premium,SV1002,DEN,Denim,Denim,,,,,,,,,,4610,8.4362,0,0,1,7,0,0,0,,,,,0.3,-1.9,1.05,0.3,,Trousers Denim,Trousers,,2,Halcyon Straight Jean,Mumbai · Lower Parel,1972,Ludhiana Woollens,0.81,0.0831227490959891,1.841171421192121,8,0,39,31,0,3100,15081.678
styleverse,styleverse,2026-08-10,2026,32,ST01,Premium,SV1003,KNT,Knitwear,Knitwear,,,,,,,,,,4400,8.3896,0,0,1,7,0,0,0,,,,,0.38,-1.7,1.28,0.38,,Knitwear,Sweater,,3,Marlow Crew Sweater,Mumbai · Lower Parel,1564,Noida Apparel Park,0.88,0.1810419825517486,0.3812452738871798,9,0,16,7,0,7462,11410.411
styleverse,styleverse,2026-08-10,2026,32,ST01,Premium,SV1004,DRS,Dresses,Dresses,,,,,,,,,,6960,8.8481,0,0,1,7,0,0,0,,,,,0.46,-2.4,0.88,0.46,,Dresses Ladies,Dress,,4,Vesper Midi Dress,Mumbai · Lower Parel,2727,Bengaluru Cut & Sew,0.91,0.07573628524851254,0.6613548761466518,2,0,11,9,0,13648,11257.66
styleverse,styleverse,2026-08-10,2026,32,ST01,Premium,SV1005,FTW,Footwear,Footwear,,,,,,,,,,5170,8.5508,0,0,1,7,0,0,0,,,,,0.28,-1.5,1.02,0.28,,Shoes,Sneakers,,5,Cadence Sneaker,Mumbai · Lower Parel,2124,Surat Textile Mills,0.73,0.2141044805676707,1.488332889066078,17,0,39,22,0,5336,15464.555
styleverse,styleverse,2026-08-10,2026,32,ST01,Premium,SV1006,ACC,Accessories,Accessories,,,,,,,,,,2580,7.8559,0,0,1,7,0,0,0,,,,,0.5,-2.6,0.95,0.5,,Accessories,Socks,,6,Orbit Wool Scarf,Mumbai · Lower Parel,898,Tirupur Knits,0.94,0.0005917971634623065,0.8234393561375327,10,0,13,3,0,13284,12053.953
styleverse,styleverse,2026-08-10,2026,32,ST01,Premium,SV1007,ACT,Activewear,Activewear,,,,,,,,,,6710,8.8115,0,0,1,7,0,0,0,,,,,0.35,-2.1,0.9,0.35,,Swimwear,Swimwear bottom,,7,Linden Legging,Mumbai · Lower Parel,2439,Ludhiana Woollens,0.81,0.6777078019342075,0.9387907859287224,7,0,19,12,0,6443,13265.386
styleverse,styleverse,2026-08-10,2026,32,ST01,Premium,SV1008,BAS,Basics,Basics,,,,,,,,,,7640,8.9413,0,0,1,7,0,0,0,,,,,0.2,-1.2,0.82,0.2,,Jersey Fancy,Trousers,,8,Sable Oxford Shirt,Mumbai · Lower Parel,3332,Noida Apparel Park,0.88,0.7771817858091377,1.853309070249088,12,0,40,28,0,50459,14752.2
styleverse,styleverse,2026-08-10,2026,32,ST01,Premium,SV1009,OUT,Outerwear,Outerwear,,,,,,,,,,3880,8.2638,0,0,1,7,0,0,0,,,,,0.42,-1.6,1.35,0.42,,Outdoor,Jacket,,9,Frost Trench,Mumbai · Lower Parel,1398,Bengaluru Cut & Sew,0.91,0.3563938032865699,1.289053673413582,21,0,40,19,0,5810,11186.631
styleverse,styleverse,2026-08-10,2026,32,ST01,Premium,SV1010,DEN,Denim,Denim,,,,,,,,,,910,6.8145,0,0,1,7,0,0,0,,,,,0.3,-1.9,1.05,0.3,,Trousers Denim,Trousers,,10,Kite Denim Jacket,Mumbai · Lower Parel,467,Surat Textile Mills,0.73,0.5993439873992962,2.595437742676586,7,0,35,28,0,3100,15158.13
styleverse,styleverse,2026-08-10,2026,32,ST01,Premium,SV1011,KNT,Knitwear,Knitwear,,,,,,,,,,2590,7.8598,0,0,1,7,0,0,0,,,,,0.38,-1.7,1.28,0.38,,Knitwear,Sweater,,11,Juniper Cardigan,Mumbai · Lower Parel,1081,Tirupur Knits,0.94,0.911053318813002,1.221256928832736,27,0,47,20,0,7462,11420.743
